요양기관명	*	주소	*	전화번호	*	좌표(X)	*	좌표(Y)
순천의료재단 성남정병원	*	경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)	*	031-750-6000	*	127.1290046	*	37.4398589
순천향대학교부속부천병원	*	경기도 부천시 원미구 조마루로 170, 부흥로 173(1층일부) (중동)	*	032-621-5114	*	126.7629626	*	37.4986998
아주대학교병원	*	경기도 수원시 영통구 월드컵로 164, (원천동)	*	031-219-5114	*	127.0476837	*	37.2794612
안성성모병원	*	경기도 안성시 시장길 58, (서인동)	*	031-675-6007	*	127.2709213	*	37.0062179
연세대학교 의과대학 용인세브란스병원	*	경기도 용인시 기흥구 동백죽전대로 363, (중동)	*	1899-1004	*	127.1485144	*	37.270805
오산한국병원	*	경기도 오산시 밀머리로1번길 16, (원동)	*	031-379-8300	*	127.0753662	*	37.1412709
원광대학교 산본병원	*	경기도 군포시 산본로 321, (산본동)	*	031-390-2300	*	126.9336147	*	37.3594127
의료법인 갈렌의료재단 박병원	*	경기도 평택시 송탄로 33, (장당동)	*	031-666-2600	*	127.0570008	*	37.0482657
의료법인 남촌의료재단 시화병원	*	경기도 시흥시 군자천로 381, 시화병원 (정왕동)	*	031-1811-7000	*	126.7369422	*	37.3499313
의료법인 녹산의료재단동수원병원	*	경기도 수원시 팔달구 중부대로 165, (우만동)	*	031-210-0114	*	127.0345487	*	37.2780649
의료법인 덕산의료재단 수원덕산병원	*	경기도 수원시 권선구 서부로 1674, (고색동)	*	031-686-2000	*	126.9743992	*	37.2586103
의료법인 록향의료재단 신천연합병원	*	경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)	*	031-310-6300	*	126.7894932	*	37.4445152
의료법인 명인의료재단 화홍병원	*	경기도 수원시 권선구 호매실로90번길 98, (호매실동)	*	031-278-0119	*	126.9639084	*	37.2601268
의료법인 박애의료재단 박애병원	*	경기도 평택시 평택2로20번길 3, (평택동)	*	031-652-2121	*	127.0890756	*	36.9930636
의료법인 석경의료재단 센트럴병원	*	경기도 시흥시 공단1대로 237, (정왕동, 센트럴 병원)	*	031-8041-3000	*	126.7281267	*	37.3369084
의료법인 양진의료재단 평택성모병원	*	경기도 평택시 평택로 284, (세교동)	*	1800-8800	*	127.0743334	*	37.0084186
의료법인 영동의료재단 의정부백병원	*	경기도 의정부시 금신로 322, (신곡동)	*	031-856-8111	*	127.0622375	*	37.7453263
의료법인 원광의료재단 원광종합병원	*	경기도 화성시 병점구 화산북로 21, (송산동)	*	031-8077-7200	*	127.0081096	*	37.2101373
의료법인 은혜와감사의료재단 화성중앙종합병원	*	경기도 화성시 만세구 향남읍 발안로 5, (향남읍)	*	031-352-8114	*	126.9107797	*	37.1313512
의료법인 일심의료재단 포천우리병원	*	경기도 포천시 소흘읍 호국로 661, 661	*	031-542-0222	*	127.1481863	*	37.827471
의료법인 토마스의료재단 윌스기념병원	*	경기도 수원시 팔달구 경수대로 437, (인계동)	*	031-223-2233	*	127.0255443	*	37.2653229
의료법인 플러스의료재단 단원병원	*	경기도 안산시 단원구 원포공원1로 20, 동의성단원병원 (초지동)	*	031-8040-6600	*	126.8134984	*	37.3002282
의료법인대인의료재단 다니엘종합병원	*	경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)	*	032-670-0001	*	126.7694764	*	37.5123067
의료법인명지의료재단명지병원	*	경기도 고양시 덕양구 화수로14번길 55, (화정동)	*	031-810-5114	*	126.8312622	*	37.6419949
의료법인백송의료재단 굿모닝병원	*	경기도 평택시 중앙로 338, (합정동)	*	031-5182-7700	*	127.1204113	*	36.9906277
의료법인성광의료재단일산차병원	*	경기도 고양시 일산동구 중앙로 1205, 지하1층2층4층(일부), 1층2층6층(일부),지하2층,4~5층, 7~10층(장항동)	*	031-782-8300	*	126.7757374	*	37.6541317
의료법인우리의료재단김포우리병원	*	경기도 김포시 감암로 11, 김포우리병원 (걸포동)	*	031-999-1000	*	126.7107331	*	37.6323325
의료법인인봉의료재단뉴고려병원	*	경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)	*	031-998-8129	*	126.6602138	*	37.640959
의료법인자인의료재단(더자인병원)	*	경기도 고양시 덕양구 중앙로 555, /중앙로557번길 555, /중앙로557번길 14, 지하1(일부),1-6층 (행신동)	*	031-930-3114	*	126.8357506	*	37.6229778
의료법인칠석의료재단사랑의병원	*	경기도 안산시 상록구 예술광장로 69, 사랑의병원(593-4번지/593-5번지) (성포동)	*	031-439-3000	*	126.8449325	*	37.3269353
인산의료재단 메트로병원	*	경기도 안양시 만안구 명학로33번길 8, (안양동, 메트로병원)	*	031-467-9000	*	126.9352309	*	37.3786666
인제대학교일산백병원	*	경기도 고양시 일산서구 주화로 170, (대화동)	*	031-910-7114	*	126.7503802	*	37.6742736
조은오산병원	*	경기도 오산시 오산로 307, (오산동)	*	1544-5355	*	127.068197	*	37.1541965
중앙대학교광명병원	*	경기도 광명시 덕안로 110, (일직동)	*	1811-7800	*	126.88591	*	37.4245975
차의과학대학교분당차병원	*	경기도 성남시 분당구 야탑로 59, (야탑동)	*	031-780-5000	*	127.1254535	*	37.4102384
참조은병원	*	경기도 광주시 광주대로 45, (경안동)	*	1600-9955	*	127.260254	*	37.4109626
추병원	*	경기도 의정부시 평화로 650, (의정부동)	*	031-845-7777	*	127.0450722	*	37.7497898
학교법인 을지학원 의정부을지대학교병원	*	경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)	*	031-951-1000	*	127.0506997	*	37.7518185
한림대학교동탄성심병원	*	경기도 화성시 동탄구 큰재봉길 7, (석우동)	*	031-8086-3000	*	127.0799502	*	37.2165141
한림대학교성심병원	*	경기도 안양시 동안구 관평로170번길 22, (평촌동)	*	031-380-1500	*	126.9620529	*	37.3917575
한양대학교구리병원	*	경기도 구리시 경춘로 153, (교문동)	*	1644-9118	*	127.1324272	*	37.6012985
현대병원	*	경기도 남양주시 진접읍 봉현로 21, (진접읍)	*	031-574-9118	*	127.179882	*	37.7154268
화성유일병원	*	경기도 화성시 만세구 남양읍 남양로920번길 6, (남양읍)	*	031-355-0119	*	126.8326549	*	37.217785
효산의료재단 안양샘병원	*	경기도 안양시 만안구 삼덕로 9, (안양동, 안양샘병원)	*	031-467-9114	*	126.9243939	*	37.3935234
효산의료재단 지샘병원	*	경기도 군포시 군포로 591, (당동, (G샘병원)군포샘병원)	*	031-389-3000	*	126.9473164	*	37.358672
강일병원	*	경상남도 김해시 가락로 359, (구산동)	*	055-822-0100	*	128.8696709	*	35.2566817
경상국립대학교병원	*	경상남도 진주시 강남로 79, (칠암동)	*	055-750-8000	*	128.0964924	*	35.1759944
경상남도마산의료원	*	경상남도 창원시 마산합포구 3·15대로 231, (중앙동3가)	*	055-249-1000	*	128.5655967	*	35.1992371
근로복지공단 창원병원	*	경상남도 창원시 성산구 창원대로 721, (중앙동)	*	055-280-7619	*	128.6717512	*	35.2187539
베데스다복음병원	*	경상남도 양산시 신기로 28, (신기동)	*	055-384-9901	*	129.0435924	*	35.3532447
새통영병원	*	경상남도 통영시 무전7길 192, (무전동)	*	055-646-6000	*	128.4207171	*	34.8653483
양산부산대학교병원	*	경상남도 양산시 물금읍 금오로 20, (물금읍)	*	055-360-1000	*	129.0057274	*	35.3281501
양산성모병원	*	경상남도 양산시 서창로 59, (명동)	*	1600-7582	*	129.1645144	*	35.4063625
연세에스병원	*	경상남도 창원시 진해구 해원로32번길 13, (이동)	*	055-548-7700	*	128.6983467	*	35.1547267
의료법인 거붕 백병원	*	경상남도 거제시 계룡로5길 14, (상동동)	*	055-733-0000	*	128.6261659	*	34.8736094
의료법인 대우의료재단대우병원	*	경상남도 거제시 두모길 16-16, (두모동)	*	055-680-8114	*	128.7216517	*	34.8712995
의료법인 문병욱의료재단 진주고려병원	*	경상남도 진주시 동진로 2, (칠암동, 진주고려병원)	*	055-751-2500	*	128.0920864	*	35.1784915
의료법인 성념의료재단맑은샘병원	*	경상남도 거제시 연초면 거제대로 4477, (연초면)	*	055-731-1240	*	128.6437581	*	34.8978348
의료법인갑을의료재단 갑을장유병원	*	경상남도 김해시 장유로 167-13, (부곡동)	*	055-310-6000	*	128.8056169	*	35.2086652
의료법인석영의료재단창원제일종합병원	*	경상남도 창원시 마산합포구 3·15대로 238, (중앙동3가)	*	055-223-9000	*	128.5676	*	35.199085
의료법인숭인의료재단 김해복음병원	*	경상남도 김해시 활천로 33, (삼정동)	*	055-330-8888	*	128.8931625	*	35.2306263
의료법인청아의료재단청아병원	*	경상남도 창원시 마산회원구 내서읍 광려천서로 67, (청아병원)	*	055-230-1500	*	128.50965	*	35.2480349
의료법인합포의료재단에스엠지연세병원	*	경상남도 창원시 마산합포구 3·15대로 76, (월남동2가, 합포의료재단)	*	055-243-0100	*	128.5616013	*	35.1863148
의료법인환명의료재단 조은금강병원	*	경상남도 김해시 김해대로 1814-37, (삼계동)	*	055-330-0300	*	128.8615328	*	35.2623213
제일병원	*	경상남도 진주시 진주대로 885, (강남동)	*	055-750-7123	*	128.0902544	*	35.1794722
창원경상국립대학교병원	*	경상남도 창원시 성산구 삼정자로 11, (성주동, 창원경상대학교병원)	*	055-214-2000	*	128.7078463	*	35.1990872
창원파티마병원	*	경상남도 창원시 의창구 창이대로 45-45, (명서동)	*	055-270-1000	*	128.645913	*	35.237293
창원한마음병원	*	경상남도 창원시 의창구 용동로57번길 8, (사림동)	*	055-225-0000	*	128.6990272	*	35.2379477
학교법인성균관대학삼성창원병원	*	경상남도 창원시 마산회원구 팔용로 158-158, (합성동, 삼성창원병원)	*	055-233-8899	*	128.5923771	*	35.2424957
한일병원	*	경상남도 진주시 범골로 17, 한일병원 지하1 1~7층 (충무공동)	*	055-759-7777	*	128.1285557	*	35.1669944
경상북도김천의료원	*	경상북도 김천시 모암길 24,  (모암동)	*	054-432-8901	*	128.1264391	*	36.1227232
경상북도안동의료원	*	경상북도 안동시 태사2길 55,  (북문동)	*	054-850-6000	*	128.7321116	*	36.5682206
경상북도포항의료원	*	경상북도 포항시 북구 용흥로 36,  (용흥동)	*	054-247-0551	*	129.3549409	*	36.0348814
구미강동병원	*	경상북도 구미시 인동20길 46,  (진평동)	*	054-453-7575	*	128.4228695	*	36.096239
동국대학교의과대학경주병원	*	경상북도 경주시 동대로 87,  (석장동)	*	054-748-9300	*	129.1966582	*	35.8583076
상주적십자병원	*	경상북도 상주시 상서문로 53,  (남성동)	*	054-534-3501	*	128.1555556	*	36.4146221
순천향대학교 부속 구미병원	*	경상북도 구미시 1공단로 179,  (공단동)	*	054-468-9114	*	128.3827377	*	36.1029182
안동성소병원	*	경상북도 안동시 서동문로 99,  (금곡동)	*	054-850-8114	*	128.7228172	*	36.5672423
에스포항병원	*	경상북도 포항시 남구 희망대로 352,  (이동)	*	054-289-9000	*	129.3314538	*	36.0348843
영남대학교의과대학부속영천병원	*	경상북도 영천시 오수1길 10, (오수동)	*	054-338-9000	*	128.913212	*	35.957285
영주적십자병원	*	경상북도 영주시 대학로 327-0, 영주적십자병원	*	054-630-0100	*	128.6039024	*	36.8252688
의료법인 근원의료재단 경산중앙병원	*	경상북도 경산시 경안로 11,  (백천동)	*	053-715-0100	*	128.7401912	*	35.8088799
의료법인 서명의료재단 세명종합병원	*	경상북도 경산시 경안로 208, (중방동)	*	053-819-8800	*	128.7371689	*	35.8263331
의료법인덕산의료재단김천제일병원	*	경상북도 김천시 신음1길 12,  (신음동)	*	054-420-9300	*	128.1187923	*	36.1354003
의료법인동춘의료재단문경제일병원	*	경상북도 문경시 당교3길 25,  (모전동)	*	054-550-7700	*	128.1892251	*	36.58444
의료법인삼백의료재단상주성모병원	*	경상북도 상주시 냉림서성길 7,  (냉림동)	*	054-532-5001	*	128.1597338	*	36.4203907
의료법인안동병원	*	경상북도 안동시 앙실로 11,  (수상동)	*	054-840-1004	*	128.7010976	*	36.5467408
의료법인은성의료재단좋은선린병원	*	경상북도 포항시 북구 대신로 43,  (대신동)	*	054-245-5000	*	129.3670367	*	36.048263
의료법인한성재단포항세명기독병원	*	경상북도 포항시 남구 포스코대로 351,  (대도동)	*	054-275-0005	*	129.3622256	*	36.0177172
차의과학대학교부속구미차병원	*	경상북도 구미시 신시로10길 12,  (형곡동)	*	054-450-9700	*	128.3405414	*	36.1145324
포항성모병원	*	경상북도 포항시 남구 대잠동길 17,  (대잠동)	*	054-272-0151	*	129.3399527	*	36.0159003
KS병원	*	광주광역시 광산구 왕버들로 220,  (수완동)	*	062-975-9000	*	126.8331484	*	35.1979238
광주기독병원	*	광주광역시 남구 양림로 37,  (양림동)	*	062-650-5000	*	126.9118749	*	35.136665
광주병원	*	광주광역시 북구 면앙로139번길 51,  (두암동)	*	062-260-7100	*	126.9281408	*	35.178903
광주보훈병원	*	광주광역시 광산구 첨단월봉로 99,  (산월동)	*	062-602-6114	*	126.8496719	*	35.2079032
광주센트럴병원	*	광주광역시 광산구 수완로 6-0,  A,B,C동 (신가동)	*	062-950-9700	*	126.8291069	*	35.1857756
광주수완병원	*	광주광역시 광산구 임방울대로 370,  (수완동)	*	062-958-1111	*	126.8241888	*	35.193096
광주씨티병원	*	광주광역시 남구 서문대로654번길 5,  (진월동)	*	062-460-7000	*	126.8994848	*	35.1177147
광주일곡병원	*	광주광역시 북구 양일로 309,  (일곡동)	*	062-608-7000	*	126.8976135	*	35.2028543
광주한국병원	*	광주광역시 서구 월드컵4강로 223,  (쌍촌동)	*	062-380-3000	*	126.8688164	*	35.1562166
광주현대병원	*	광주광역시 북구 설죽로 291,  (용봉동)	*	062-570-0114	*	126.897925	*	35.185676
광주희망병원	*	광주광역시 북구 하서로 429,  (용두동)	*	062-608-6000	*	126.8747341	*	35.2134937
동아병원	*	광주광역시 남구 대남대로 238,  (백운동)	*	062-650-2500	*	126.8999505	*	35.1348131
미래로21병원	*	광주광역시 서구 화운로 1,  (화정동)	*	062-450-1000	*	126.8852856	*	35.141033
빛고을전남대학교병원	*	광주광역시 남구 덕남길 80-0,  1동 (덕남동,전남대학교병원류마티스전문질환센터)	*	062-670-9421	*	126.8963045	*	35.0943936
상무병원	*	광주광역시 서구 상무자유로 181-7,  (치평동)	*	062-600-7000	*	126.8538803	*	35.1527509
서광병원	*	광주광역시 서구 금화로59번길 6,  (금호동)	*	062-600-8000	*	126.8557303	*	35.1325949
서남대학교병원	*	광주광역시 동구 천변우로 415,  (불로동)	*	062-224-0671	*	126.9150205	*	35.1447273
선한병원	*	광주광역시 서구 무진대로 975-0, (광천동)	*	062-466-1000	*	126.8869934	*	35.1615964
신가병원	*	광주광역시 광산구 목련로 316,  (신가동)	*	062-610-8100	*	126.8296527	*	35.1774148
운암한국병원	*	광주광역시 북구 북문대로 191,  (운암동)	*	062-608-8000	*	126.8696693	*	35.1850041
전남대학교병원	*	광주광역시 동구 제봉로 42,  (학동)	*	062-1899-0000	*	126.9215805	*	35.1418094
조선대학교병원	*	광주광역시 동구 필문대로 365,  (학동)	*	062-1811-7474	*	126.9261467	*	35.1390537
첨단종합병원	*	광주광역시 광산구 첨단중앙로170번길 59,  (쌍암동)	*	062-601-8000	*	126.8453041	*	35.2211088
하남성심병원	*	광주광역시 광산구 용아로 259,  (산정동)	*	062-953-6000	*	126.8009586	*	35.1666556
해피뷰병원	*	광주광역시 북구 경열로 216-0, 해피뷰병원	*	062-519-9000	*	126.906773	*	35.1586417
(재)미리내천주성삼성직수도회천주성삼병원	*	대구광역시 수성구 달구벌대로 3190, (신매동, 천주성삼병원)	*	053-790-1000	*	128.7057102	*	35.8402518
강남종합병원	*	대구광역시 동구 동촌로 207, 강남병원 (방촌동)	*	053-980-9000	*	128.6639117	*	35.8827739
경북대학교병원	*	대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)	*	053-200-5114	*	128.604703	*	35.8662525
계명대학교대구동산병원	*	대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)	*	053-250-8114	*	128.5831323	*	35.8694728
계명대학교동산병원	*	대구광역시 달서구 달구벌대로 1035, (신당동)	*	1577-6622	*	128.4801315	*	35.8538856
곽병원	*	대구광역시 중구 국채보상로 531, (수동)	*	053-252-2401	*	128.5885849	*	35.8710213
나사렛종합병원	*	대구광역시 달서구 월배로 97, 나사렛병원 (진천동)	*	053-643-1400	*	128.5251021	*	35.8147014
대구가톨릭대학교 칠곡가톨릭병원	*	대구광역시 북구 칠곡중앙대로 440, (읍내동)	*	053-320-2500	*	128.5493894	*	35.9348614
대구가톨릭대학교병원	*	대구광역시 남구 두류공원로17길 33, (대명동)	*	053-650-3000	*	128.5679969	*	35.8436078
대구굿모닝병원	*	대구광역시 서구 달서로 42, 지하2층~11층 (내당동)	*	053-620-9100	*	128.5713825	*	35.8661072
대구의료원	*	대구광역시 서구 평리로 157, (중리동)	*	053-560-7575	*	128.540587	*	35.85964
대구파티마병원	*	대구광역시 동구 아양로 99, (신암동)	*	053-1688-7770	*	128.6244071	*	35.8842611
더블유병원	*	대구광역시 달서구 달구벌대로 1632, 더블유병원 (감삼동)	*	053-550-5000	*	128.5449481	*	35.8526313
드림종합병원	*	대구광역시 남구 대명로 153, (대명동)	*	053-640-8800	*	128.5744911	*	35.8395584
삼일병원	*	대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)	*	053-659-3100	*	128.5535826	*	35.8324956
영남대학교병원	*	대구광역시 남구 현충로 170, (대명동)	*	053-623-8001	*	128.58205	*	35.848107
의료법인구의료재단 구병원	*	대구광역시 달서구 감삼북길 141, (감삼동)	*	053-560-9114	*	128.5414437	*	35.8506236
칠곡경북대학교병원	*	대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)	*	053-200-2000	*	128.5646727	*	35.9564207
한국보훈복지의료공단 대구보훈병원	*	대구광역시 달서구 월곡로 60, (도원동)	*	053-630-7000	*	128.5519785	*	35.8028206
근로복지공단 대전병원	*	대전광역시 대덕구 계족로 637,  (법동)	*	042-670-5419	*	127.4285488	*	36.3683976
대전보훈병원	*	대전광역시 대덕구 대청로82번길 147, 147	*	042-939-0111	*	127.4396417	*	36.4473355
대전한국병원	*	대전광역시 동구 동서대로 1672,  (성남동)	*	042-606-1000	*	127.4358152	*	36.3482008
대청병원	*	대전광역시 서구 계백로 1322, (정림동)	*	042-1899-6075	*	127.3705716	*	36.3082388
의료법인 영훈의료재단 대전선병원	*	대전광역시 중구 목중로 29, (목동)	*	042-220-8114	*	127.4104139	*	36.3360669
의료법인영훈의료재단 유성선병원	*	대전광역시 유성구 북유성대로 93-0,  0동 0호 (지족동,유선성병원)	*	042-609-1000	*	127.3249507	*	36.3751715
충남대학교병원	*	대전광역시 중구 문화로 282, (대사동)	*	042-1599-7123	*	127.415363	*	36.316908
학교법인 가톨릭학원 가톨릭대학교 대전성모병원	*	대전광역시 중구 대흥로 64, (대흥동)	*	042-220-9114	*	127.4201629	*	36.323042
학교법인 건양교육재단 건양대학교병원	*	대전광역시 서구 관저동로 158, (관저동)	*	042-600-9999	*	127.342613	*	36.306642
학교법인 을지학원 대전을지대학교병원	*	대전광역시 서구 둔산서로 95, (둔산동)	*	042-611-3000	*	127.3819888	*	36.3553098
고신대학교복음병원	*	부산광역시 서구 감천로 262, (암남동)	*	990-6114	*	129.0139595	*	35.0809636
구포성심병원	*	부산광역시 북구 낙동대로 1786, (구포동)	*	051-330-2001	*	129.0047235	*	35.2097133
대동병원	*	부산광역시 동래구 충렬대로 187, (명륜동)	*	051-554-1233	*	129.0802033	*	35.2042538
동남권원자력의학원원자력병원	*	부산광역시 기장군 장안읍 좌동길 40, (장안읍)	*	051-720-5114	*	129.2435492	*	35.3214002
동래봉생병원	*	부산광역시 동래구 안연로109번길 27, (안락동)	*	051-520-5500	*	129.0961355	*	35.1969224
동아대학교병원	*	부산광역시 서구 대신공원로 26, (동대신동3가)	*	051-240-2400	*	129.0175391	*	35.1201682
부산광역시의료원	*	부산광역시 연제구 월드컵대로 359, (거제동, 1동, 5동일부)	*	051-507-3000	*	129.0592351	*	35.1872821
부산대학교병원	*	부산광역시 서구 구덕로 179, (아미동1가)	*	240-7000	*	129.0188032	*	35.1008477
부산성모병원(재단법인 천주교부산교구유지재단)	*	부산광역시 남구 용호로232번길 25-14, (용호동)	*	051-933-7114	*	129.109125	*	35.1104571
비에이치에스한서병원	*	부산광역시 수영구 수영로 615, (광안동)	*	051-756-0081	*	129.1131037	*	35.16088
빌리브세웅병원	*	부산광역시 동래구 충렬대로 455, (안락동)	*	051-500-1100	*	129.1082196	*	35.1960144
삼육부산병원	*	부산광역시 서구 대티로 170, (서대신동2가)	*	242-9751	*	129.0110653	*	35.1127675
영도병원	*	부산광역시 영도구 태종로 85, (대교동2가)	*	051-414-8101	*	129.0405236	*	35.0922416
의료법인 광혜의료재단 광혜병원	*	부산광역시 동래구 충렬대로 96, (온천동, 광혜병원)	*	051-503-2111	*	129.0711482	*	35.2070104
의료법인 센텀의료재단 센텀종합병원	*	부산광역시 수영구 수영로679번길 8, (광안동)	*	051-750-5000	*	129.1144194	*	35.1668299
의료법인 온그룹의료재단 온병원	*	부산광역시 부산진구 가야대로 719, ,767,721,본관 지하3~11층 전부,12층 일부,13~14층 전부,15층 일부,신관 1층, 9층 일부 (당감동)	*	051-607-0114	*	129.0504284	*	35.1574359
의료법인 은성의료재단 좋은강안병원	*	부산광역시 수영구 수영로 493, (남천동)	*	051-625-0900	*	129.1106218	*	35.1500685
